Site          Lon          Lat      Delta E      Delta N      Delta V      Sigma E      Sigma N      Sigma V
BEMT  -115.998193    34.000533     3.295766    -0.094456    -0.554101     0.272715     0.333177     1.104405
BLYT  -114.714853    33.610414     5.638817    -4.106806    -1.824568     0.271747     0.324651     1.074259
BOMG  -115.729707    33.364628    -1.337905   -18.451511     8.912446     0.284714     0.342484     1.182521
CACT  -115.989952    33.655135     0.000000     0.000000     0.000000     0.281677     0.338696     1.136039
COTD  -116.386893    33.732487    -7.984998    11.199876    -6.535731     0.326365     0.361383     1.357052
CRRS  -115.735045    33.069808    -1.714581   -19.197181     3.233758     0.286970     0.344805     1.219396
DESC  -116.641803    32.829920   -35.553633    27.639711    -9.151812     0.286564     0.338047     1.163533
DHLG  -115.788031    33.389806    -1.246478    -5.835633     1.671937     0.282578     0.337160     1.155550
DSSC  -116.712093    33.733332    -9.393918    16.712054    -2.822087     0.359596     0.389112     1.599870
GMPK  -114.827347    33.051084    14.889551    -8.368118    -0.960706     0.328190     0.374973     1.432358
HNPS  -115.635338    33.705005     3.997420    -8.068549    -0.723470     0.300402     0.368259     1.444485
IID2  -115.031804    32.706168    42.823506   -22.260755    -5.403985     0.294626     0.347020     1.245266
KYVW  -116.173398    33.925369    -0.139847     3.171923    -0.606934     0.284324     0.338645     1.151720
MONP  -116.422355    32.891942   -36.358634    25.955548    -8.348005     0.283786     0.332494     1.146117
MVFD  -116.525318    33.210874   -21.604561    20.608005    -7.423012     0.293568     0.344551     1.213843
P066  -116.169792    32.616526   -87.532651    27.553024   -12.043840     0.273393     0.327757     1.108956
P480  -116.348540    32.975997   -30.579350    21.435014    -5.581229     0.277685     0.337412     1.153036
P481  -116.010795    32.822240   -37.304452     7.356504     0.366709     0.279205     0.335458     1.159868
P482  -116.671417    33.240180   -24.097688    21.694968    -6.954021     0.284216     0.343673     1.186101
P483  -116.569330    33.059165   -27.247824    25.336456    -5.525095     0.269586     0.328010     1.089237
P484  -116.620842    33.375593   -18.049122    20.111714    -4.122545     0.279002     0.338791     1.168934
P485  -116.409043    33.210213   -19.901691    18.811652    -2.976801     0.297858     0.359457     1.311745
P486  -116.322290    33.260192   -16.931747    15.561922    -9.172988     0.278569     0.339380     1.155963
P487  -116.183076    33.213532   -14.842313    10.567248    -0.510478     0.274210     0.332529     1.122887
P488  -116.078813    33.201016   -11.236358     4.696865     0.375436     0.273843     0.332429     1.117840
P489  -116.111611    33.296213    -8.215674     6.149839     1.173372     0.282814     0.340507     1.197213
P490  -116.425908    33.523463   -10.527054    13.030239    -0.054032     0.287342     0.339750     1.197826
P491  -116.226827    33.574679    -6.925056     6.251568     0.280965     0.284577     0.357714     1.220071
P492  -115.969454    32.887049   -19.628632    -1.961569     5.600504     0.285695     0.340355     1.188692
P493  -115.824894    32.954703    -9.149577   -24.403192    10.668920     0.275890     0.331752     1.127408
P494  -115.732070    32.759655    32.823866  -177.737370   -13.616833     0.292279     0.350539     1.249862
P495  -115.628396    33.044961    -6.587690   -23.241415     2.073809     0.276098     0.334080     1.126490
P496  -115.595956    32.750626     6.609415  -160.594998    10.972973     0.285675     0.338339     1.187317
P497  -115.577034    32.834735     1.280783   -79.857736    12.545007     0.284040     0.341689     1.179133
P498  -115.569568    32.898431    -0.008772   -52.255717     9.946912     0.289089     0.344298     1.202019
P499  -115.487914    32.979606    14.336697   -44.180977     3.270513     0.289127     0.342619     1.222030
P500  -115.299933    32.690046    65.556999   -55.800612     7.252677     0.275755     0.331775     1.128405
P501  -115.397914    32.875756    22.024490   -48.898088     4.738361     0.285431     0.344065     1.191998
